数据由python量化入门课程提供
股票代码,股票名称,交易日期,新浪概念,收盘价,涨跌幅,成交量,MACD_金叉死叉
sz000002,万科Ａ,14/12/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,22.29,-0.033391,41281457,
sz000002,万科Ａ,13/12/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,23.06,-0.008598,48450098,
sz000002,万科Ａ,12/12/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,23.26,-0.062475,78901945,
sz000002,万科Ａ,09/12/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,24.81,0.002829,48168045,
sz000002,万科Ａ,08/12/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,24.74,-0.015911,38055084,
sz000002,万科Ａ,07/12/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,25.14,-0.009456,49462389,
sz000002,万科Ａ,06/12/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,25.38,-0.004706,35645541,
sz000002,万科Ａ,05/12/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,25.5,-0.035917,68906336,
sz000002,万科Ａ,02/12/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,26.45,-0.019281,51572972,
sz000002,万科Ａ,01/12/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,26.97,-0.000371,95017059,
sz000002,万科Ａ,30/11/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,26.98,0.031346,119318381,
sz000002,万科Ａ,29/11/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,26.16,-0.00834,78060059,死叉
sz000002,万科Ａ,28/11/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,26.38,-0.030147,125593915,
sz000002,万科Ａ,25/11/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,27.2,0.010026,64594659,
sz000002,万科Ａ,24/11/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,26.93,-0.010654,41224639,
sz000002,万科Ａ,23/11/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,27.22,-0.00293,74090683,
sz000002,万科Ａ,22/11/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,27.3,-0.00365,53038988,
sz000002,万科Ａ,21/11/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,27.4,-0.011544,139065510,
sz000002,万科Ａ,18/11/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,27.72,0.026667,150316488,
sz000002,万科Ａ,17/11/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,27,0.011994,59513404,
sz000002,万科Ａ,16/11/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,26.68,-0.009651,82711736,
sz000002,万科Ａ,15/11/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,26.94,0.048249,148588573,
sz000002,万科Ａ,14/11/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,25.7,-0.011158,87878021,
sz000002,万科Ａ,11/11/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,25.99,-0.021461,95846280,
sz000002,万科Ａ,10/11/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,26.56,0.009886,243030035,金叉
sz000002,万科Ａ,09/11/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,26.3,0.085879,401716139,
sz000002,万科Ａ,08/11/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,24.22,0.002483,29006609,
sz000002,万科Ａ,07/11/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,24.16,-0.017487,41989356,
sz000002,万科Ａ,04/11/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,24.59,-0.011259,58209922,
sz000002,万科Ａ,03/11/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,24.87,-0.001205,51922997,
sz000002,万科Ａ,02/11/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,24.9,-0.034509,101736108,
sz000002,万科Ａ,01/11/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,25.79,0.034912,135877207,
sz000002,万科Ａ,31/10/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,24.92,0.006869,54827410,
sz000002,万科Ａ,28/10/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,24.75,-0.000807,63141299,
sz000002,万科Ａ,27/10/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,24.77,-0.015892,43647995,
sz000002,万科Ａ,26/10/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,25.17,0.006397,58382553,
sz000002,万科Ａ,25/10/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,25.01,-0.009113,71149209,
sz000002,万科Ａ,24/10/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,25.24,-0.000396,53319635,
sz000002,万科Ａ,21/10/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,25.25,-0.0266,81870576,
sz000002,万科Ａ,20/10/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,25.94,0.004259,89241935,
sz000002,万科Ａ,19/10/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,25.83,-0.006538,60460544,
sz000002,万科Ａ,18/10/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,26,0,64177355,死叉
sz000002,万科Ａ,17/10/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,26,-0.031297,92915134,
sz000002,万科Ａ,14/10/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,26.84,0.001119,91514322,
sz000002,万科Ａ,13/10/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,26.81,0.007895,101557433,
sz000002,万科Ａ,12/10/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,26.6,0.014106,87775400,
sz000002,万科Ａ,11/10/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,26.23,0.010012,150728616,
sz000002,万科Ａ,10/10/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,25.97,-0.007642,143551183,
sz000002,万科Ａ,30/09/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,26.17,0.006926,135841060,
sz000002,万科Ａ,29/09/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,25.99,0.007364,128298586,
sz000002,万科Ａ,28/09/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,25.8,0.026253,156409060,
sz000002,万科Ａ,27/09/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,25.14,0.018639,155341790,
sz000002,万科Ａ,26/09/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,24.68,-0.031397,132417339,
