rank_num,movie_name,actors,release_time,score
1,霸王别姬,"主演：张国荣,张丰毅,巩俐",上映时间：1993-07-26,9.5
2,肖申克的救赎,"主演：蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿",上映时间：1994-09-10(加拿大),9.5
3,这个杀手不太冷,"主演：让·雷诺,加里·奥德曼,娜塔莉·波特曼",上映时间：1994-09-14(法国),9.5
4,罗马假日,"主演：格利高里·派克,奥黛丽·赫本,埃迪·艾伯特",上映时间：1953-08-20(意大利),9.0
5,泰坦尼克号,"主演：莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩",上映时间：1998-04-03,9.4
6,乱世佳人,"主演：费雯·丽,克拉克·盖博,奥利维娅·德哈维兰",上映时间：1939-12-15(美国),9.1
7,唐伯虎点秋香,"主演：周星驰,巩俐,郑佩佩",上映时间：1993-07-01(中国香港),9.1
8,魂断蓝桥,"主演：费雯·丽,罗伯特·泰勒,露塞尔·沃特森",上映时间：1940-05-17(美国),9.2
9,辛德勒的名单,"主演：连姆·尼森,拉尔夫·费因斯,本·金斯利",上映时间：1993-11-30(美国),9.2
10,喜剧之王,"主演：周星驰,莫文蔚,张柏芝",上映时间：1999-02-13(中国香港),9.1
11,音乐之声,"主演：朱莉·安德鲁斯,克里斯托弗·普卢默,埃琳诺·帕克",上映时间：1965-03-02(美国),9.0
12,天空之城,"主演：寺田农,鹫尾真知子,龟山助清",上映时间：1992-05-01,9.0
13,大闹天宫,"主演：邱岳峰,毕克,富润生",上映时间：1965-12-31,9.0
14,春光乍泄,"主演：张国荣,梁朝伟,张震",上映时间：1997-05-17(法国),9.2
15,剪刀手爱德华,"主演：约翰尼·德普,薇诺娜·瑞德,黛安娜·威斯特",上映时间：1990-12-06(美国),8.8
16,黑客帝国,"主演：基努·里维斯,凯瑞-安·莫斯,劳伦斯·菲什伯恩",上映时间：2000-01-14,9.0
17,指环王3：王者无敌,"主演：伊莱贾·伍德,伊恩·麦克莱恩,丽芙·泰勒",上映时间：2004-03-15,9.2
18,加勒比海盗,"主演：约翰尼·德普,凯拉·奈特莉,奥兰多·布鲁姆",上映时间：2003-11-21,8.9
19,教父2,"主演：阿尔·帕西诺,罗伯特·德尼罗,黛安·基顿",上映时间：1974-12-12(美国),9.0
20,楚门的世界,"主演：金·凯瑞,劳拉·琳妮,诺亚·艾默里奇",上映时间：1998(罗马尼亚),8.9
21,无间道,"主演：刘德华,梁朝伟,黄秋生",上映时间：2003-09-05,9.1
22,蝙蝠侠：黑暗骑士,"主演：克里斯蒂安·贝尔,希斯·莱杰,阿伦·伊克哈特",上映时间：2008-07-14(阿根廷),9.3
23,射雕英雄传之东成西就,"主演：张国荣,梁朝伟,张学友",上映时间：1993-02-05(中国香港),8.9
24,指环王1：护戒使者,"主演：伊莱贾·伍德,伊恩·麦克莱恩,丽芙·泰勒",上映时间：2002-04-04,9.0
25,天堂电影院,"主演：菲利浦·诺瓦雷,赛尔乔·卡斯特利托,蒂兹亚娜·罗达托",上映时间：1988-11-17(意大利),9.2
26,指环王2：双塔奇兵,"主演：伊莱贾·伍德,伊恩·麦克莱恩,丽芙·泰勒",上映时间：2003-04-25,9.1
27,机器人总动员,"主演：本·贝尔特,艾丽莎·奈特,杰夫·格尔林",上映时间：2008-06-27(美国),9.3
28,活着,"主演：葛优,巩俐,牛犇",上映时间：1994-05-17(法国),9.0
29,狮子王,"主演：马修·布罗德里克,尼基塔·卡兰姆,詹姆斯·厄尔·琼斯",上映时间：1995-07-15,8.8
30,拯救大兵瑞恩,"主演：汤姆·汉克斯,马特·达蒙,汤姆·塞兹摩尔",上映时间：1998-11-13,8.9
31,盗梦空间,"主演：莱昂纳多·迪卡普里奥,渡边谦,约瑟夫·高登-莱维特",上映时间：2010-09-01,9.2
32,忠犬八公的故事,"主演：Forest,理查·基尔,琼·艾伦",上映时间：2009-06-13(美国),9.2
33,哈尔的移动城堡,"主演：倍赏千惠子,木村拓哉,美轮明宏",上映时间：2004-09-05(意大利),8.9
34,阿凡达,"主演：萨姆·沃辛顿,佐伊·索尔达娜,米歇尔·罗德里格兹",上映时间：2010-01-04,9.0
35,疯狂原始人,"主演：尼古拉斯·凯奇,艾玛·斯通,瑞安·雷诺兹",上映时间：2013-04-20,9.5
